,season,round.roundNumber,team.name,player.field.position,kicks,handballs,disposals,marks,bounces,tackles,contestedPossessions,uncontestedPossessions,totalPossessions,inside50s,marksInside50,contestedMarks,hitouts,onePercenters,disposalEfficiency,clangers,freesFor,freesAgainst,rebound50s,goalAssists,turnovers,intercepts,tacklesInside50,shotsAtGoal,scoreInvolvements,metresGained,clearances.centreClearances,clearances.stoppageClearances,clearances.totalClearances,extendedStats.effectiveKicks,extendedStats.kickToHandballRatio,extendedStats.effectiveDisposals,extendedStats.marksOnLead,extendedStats.interceptMarks,extendedStats.hitoutsToAdvantage,extendedStats.groundBallGets,extendedStats.f50GroundBallGets,extendedStats.scoreLaunches,extendedStats.pressureActs,extendedStats.defHalfPressureActs,extendedStats.spoils,extendedStats.ruckContests,extendedStats.contestDefOneOnOnes,extendedStats.contestDefLosses,extendedStats.contestOffOneOnOnes,extendedStats.contestOffWins,extendedStats.centreBounceAttendances,extendedStats.kickins,extendedStats.kickinsPlayon
10,2019,1,Carlton,MID,65,66,131,21,1,25,56,79,135,19,1,1,27,8,416.4,19,8,9,9,1,25,19,2,4,25,1824,12,11,23,36,7.4,93,1,3,11,43,7,6,102,55,5,66,5,3,3,1,0.0,0.0,0.0
11,2019,1,Carlton,Other,47,25,72,19,0,10,25,44,69,6,4,4,3,12,289.1,9,3,3,13,2,11,7,1,7,20,1231,2,3,5,33,8.2,51,0,1,2,14,4,2,45,16,4,21,0,0,1,1,0.0,0.0,0.0
12,2019,1,Collingwood,DEF,69,33,102,25,2,11,32,58,90,9,0,2,0,31,452.6,19,6,6,29,0,22,43,0,1,8,1777,1,1,2,49,18.3,76,0,11,0,24,0,4,59,48,30,0,7,1,1,0,0.0,0.0,0.0
13,2019,1,Collingwood,FWD,49,26,75,26,0,10,25,49,74,10,4,3,7,5,417.3,17,5,5,5,3,20,7,9,14,27,1171,1,5,6,31,17.4,51,4,2,1,15,7,4,55,14,3,12,1,0,12,2,0.0,0.0,0.0
14,2019,1,Collingwood,MID,79,66,145,31,3,16,58,89,147,22,2,1,34,8,405.5,25,8,7,11,1,24,16,2,8,32,2084,9,15,24,46,8.2,98,3,3,7,38,6,10,110,63,3,73,2,0,2,1,0.0,0.0,0.0
15,2019,1,Collingwood,Other,26,32,58,16,0,12,22,35,57,7,1,1,0,7,329.5,11,2,6,3,1,9,15,5,2,7,643,0,3,3,19,3.3000000000000003,46,1,3,0,19,5,1,63,29,3,0,1,0,0,0,0.0,0.0,0.0
16,2019,1,Essendon,DEF,54,26,80,24,6,11,24,45,69,3,1,0,0,22,485.70000000000005,10,4,5,20,2,13,27,0,1,8,1395,0,4,4,42,13.5,65,0,2,0,20,2,4,52,41,20,1,9,2,2,0,0.0,0.0,0.0
17,2019,1,Essendon,FWD,41,28,69,17,2,22,22,46,68,21,1,1,10,3,384.8,17,3,9,7,1,22,9,6,4,11,1311,3,5,8,24,7.8,49,0,3,3,15,5,5,88,28,2,23,2,2,11,2,0.0,0.0,0.0
18,2019,1,Essendon,MID,59,46,105,20,2,13,49,55,104,18,3,0,31,8,325.0,16,4,5,5,1,25,20,1,8,18,1544,1,18,19,28,9.5,63,2,1,8,36,8,5,70,29,6,71,4,3,0,0,0.0,0.0,0.0
19,2019,1,Essendon,Other,33,22,55,12,1,12,21,32,53,10,1,2,0,4,240.6,9,1,4,5,1,12,6,1,5,10,1014,2,7,9,16,6.2,34,1,1,0,15,2,1,39,18,4,0,3,1,4,2,0.0,0.0,0.0
20,2019,1,Fremantle,DEF,63,25,88,19,0,19,37,50,87,13,2,1,0,19,499.8,16,7,9,25,1,19,36,1,5,18,2014,2,2,4,51,20.3,72,1,8,0,28,0,10,60,29,18,0,12,4,0,0,0.0,0.0,0.0
21,2019,1,Fremantle,FWD,58,28,86,22,0,11,39,43,82,13,8,7,6,10,409.7,10,6,3,2,5,12,10,2,19,40,1495,3,2,5,36,16.5,59,3,5,1,28,11,6,97,21,9,25,3,2,13,3,0.0,0.0,0.0
22,2019,1,Fremantle,MID,71,64,135,25,0,24,62,80,142,32,2,3,27,12,432.4,19,5,9,7,5,23,22,3,10,48,2332,13,12,25,40,8.0,98,2,4,3,44,7,13,94,34,4,50,3,1,5,1,0.0,0.0,0.0
23,2019,1,Fremantle,Other,39,33,72,18,0,10,35,37,72,10,3,5,0,2,270.8,17,4,5,2,4,21,18,1,8,23,1001,1,4,5,22,6.0,48,0,2,0,26,6,6,58,20,2,0,2,0,5,1,0.0,0.0,0.0
24,2019,1,GWS Giants,DEF,66,39,105,30,2,11,39,63,102,6,2,1,0,26,457.3,7,7,2,21,0,13,35,0,2,24,1668,2,4,6,48,18.4,80,0,6,0,27,0,10,52,33,21,0,11,3,2,1,0.0,0.0,0.0
25,2019,1,GWS Giants,FWD,48,33,81,22,0,12,40,46,86,9,11,2,0,11,408.8,12,10,4,4,5,14,14,3,18,33,1271,0,7,7,30,13.6,56,8,2,0,25,7,5,53,14,7,0,2,0,9,2,0.0,0.0,0.0
26,2019,1,GWS Giants,MID,75,39,114,25,0,27,47,65,112,23,2,2,36,6,362.9,22,3,5,12,6,25,12,4,12,36,2019,5,11,16,39,14.5,67,1,4,11,34,9,11,74,48,3,95,1,1,2,2,0.0,0.0,0.0
27,2019,1,GWS Giants,Other,41,30,71,22,4,13,30,40,70,17,1,2,0,4,294.2,4,3,1,10,0,10,11,4,5,19,1222,5,2,7,32,6.2,53,2,1,0,24,4,5,63,30,2,0,3,0,5,3,0.0,0.0,0.0
28,2019,1,Geelong Cats,DEF,55,30,85,24,0,11,29,49,78,10,0,3,0,29,469.3,13,4,2,18,0,19,36,0,1,6,1281,0,1,1,44,12.6,67,0,6,0,20,1,4,55,45,26,0,9,1,1,0,0.0,0.0,0.0
29,2019,1,Geelong Cats,FWD,44,39,83,23,2,22,35,49,84,15,8,3,4,9,416.7,26,5,10,2,3,29,9,10,11,23,1308,1,7,8,32,14.2,57,8,1,1,25,16,4,85,16,5,22,1,0,4,0,0.0,0.0,0.0
30,2019,1,Geelong Cats,MID,86,56,142,30,0,20,59,84,143,25,6,2,23,15,419.8,26,11,9,11,3,24,22,4,12,31,2439,8,18,26,49,9.7,97,4,6,5,42,7,12,112,51,6,62,2,1,4,1,0.0,0.0,0.0
31,2019,1,Geelong Cats,Other,33,31,64,14,0,10,22,41,63,7,0,1,0,8,317.1,4,4,0,6,1,8,8,2,2,8,666,1,4,5,28,4.6,52,1,0,0,16,4,1,39,16,6,0,3,1,2,0,0.0,0.0,0.0
32,2019,1,Gold Coast Suns,DEF,56,33,89,24,3,12,27,62,89,11,0,5,0,21,476.6,15,9,7,19,1,18,36,0,3,16,1880,0,4,4,44,12.6,72,0,13,0,12,0,5,43,27,18,0,19,1,1,0,0.0,0.0,0.0
33,2019,1,Gold Coast Suns,FWD,57,28,85,17,1,13,40,47,87,14,2,1,6,5,382.90000000000003,19,10,4,4,4,27,9,5,12,23,1543,2,7,9,35,12.5,54,8,2,1,28,10,5,74,25,3,10,0,0,19,2,0.0,0.0,0.0
34,2019,1,Gold Coast Suns,MID,48,55,103,21,0,22,53,54,107,12,2,4,44,13,393.7,14,5,6,13,1,19,18,5,3,19,1439,7,11,18,30,7.2,71,2,4,12,30,2,5,68,33,7,89,8,4,5,1,0.0,0.0,0.0
35,2019,1,Gold Coast Suns,Other,43,35,78,14,0,13,34,44,78,16,3,2,0,5,276.4,11,5,1,10,4,15,16,2,4,18,1317,3,7,10,22,5.2,55,0,2,0,22,3,3,56,15,3,0,4,2,2,1,0.0,0.0,0.0
36,2019,1,Hawthorn,DEF,59,32,91,25,0,16,38,49,87,10,2,3,0,24,410.2,14,3,6,17,2,23,45,3,2,11,1512,2,1,3,38,11.0,65,1,17,0,31,3,5,73,47,21,0,9,1,0,0,0.0,0.0,0.0
37,2019,1,Hawthorn,FWD,50,41,91,21,3,20,40,48,88,11,5,2,1,22,448.5,16,4,3,16,7,20,17,13,11,27,1763,0,3,3,33,10.1,68,3,4,0,32,14,8,100,30,14,3,3,0,14,4,0.0,0.0,0.0
38,2019,1,Hawthorn,MID,84,47,131,27,3,19,49,76,125,24,2,5,23,14,382.5,31,2,9,13,0,30,18,2,11,22,2261,8,12,20,45,14.4,83,0,5,6,35,4,8,147,73,8,51,2,0,2,0,0.0,0.0,0.0
39,2019,1,Hawthorn,Other,32,22,54,8,0,19,28,28,56,10,0,2,16,17,265.1,11,2,2,3,0,12,16,1,3,9,874,0,3,3,18,7.0,35,0,2,4,21,2,4,57,33,11,29,3,0,2,0,0.0,0.0,0.0
40,2019,1,Melbourne,DEF,50,22,72,19,4,10,24,45,69,11,1,0,0,14,450.70000000000005,20,8,8,18,0,23,20,1,5,13,1556,1,3,4,37,27.2,53,1,2,0,16,1,5,68,38,10,0,12,7,1,0,0.0,0.0,0.0
41,2019,1,Melbourne,FWD,46,27,73,26,0,13,26,53,79,13,9,4,8,10,428.7,14,4,3,1,7,17,5,5,8,30,1049,1,1,2,29,21.1,51,0,1,4,16,8,2,112,38,1,29,0,0,6,1,0.0,0.0,0.0
42,2019,1,Melbourne,MID,84,47,131,18,2,20,68,55,123,17,1,2,21,12,420.2,17,14,4,23,1,28,31,3,4,18,2356,11,12,23,60,21.099999999999998,93,0,3,8,41,4,6,103,51,8,45,2,0,0,0,0.0,0.0,0.0
43,2019,1,Melbourne,Other,30,27,57,13,1,10,32,30,62,4,3,2,0,5,294.7,11,2,5,4,0,15,19,3,6,11,893,2,2,4,18,6.2,42,0,1,0,26,3,2,50,28,4,0,2,0,2,1,0.0,0.0,0.0
44,2019,1,North Melbourne,DEF,69,59,128,27,1,15,37,87,124,8,0,2,0,35,476.0,20,5,7,21,0,32,40,0,0,8,1809,1,2,3,50,6.8,98,0,9,0,26,0,2,67,50,28,0,16,1,0,0,0.0,0.0,0.0
45,2019,1,North Melbourne,FWD,53,32,85,22,1,14,33,57,90,21,4,1,1,8,399.9,14,9,3,4,2,22,6,3,11,20,1567,1,3,4,34,11.0,58,5,0,0,20,8,3,78,40,5,3,0,0,14,5,0.0,0.0,0.0
46,2019,1,North Melbourne,MID,56,62,118,17,0,21,57,61,118,13,0,3,34,13,412.4,25,7,8,11,2,26,21,4,3,17,1577,8,8,16,33,6.3999999999999995,79,2,3,9,38,8,6,117,68,9,72,5,3,5,2,0.0,0.0,0.0
47,2019,1,North Melbourne,Other,27,32,59,11,0,10,20,39,59,5,3,0,0,5,352.1,11,5,4,7,2,7,7,3,3,11,692,3,2,5,20,3.3,50,3,0,0,15,1,3,56,37,3,0,2,1,1,0,0.0,0.0,0.0
48,2019,1,Port Adelaide,DEF,68,38,106,20,0,17,34,66,100,14,1,4,0,20,477.3,10,2,5,18,2,21,41,0,2,17,1740,1,1,2,48,11.2,82,0,7,0,27,0,6,56,38,16,0,5,1,0,0,0.0,0.0,0.0
49,2019,1,Port Adelaide,FWD,56,71,127,32,2,24,45,85,130,24,6,4,16,8,464.7,20,7,12,3,4,19,14,3,11,41,1537,3,9,12,39,4.9,98,4,3,7,26,6,8,92,34,3,30,0,0,10,4,0.0,0.0,0.0
50,2019,1,Port Adelaide,MID,70,57,127,30,3,19,49,80,129,16,7,2,16,11,445.0,20,5,9,7,2,25,16,4,13,40,1816,2,8,10,49,7.5,92,1,1,5,34,6,6,77,27,5,43,1,1,3,2,0.0,0.0,0.0
51,2019,1,Port Adelaide,Other,37,29,66,20,3,11,23,45,68,5,1,2,0,10,286.6,10,6,2,7,2,10,13,1,4,24,866,3,3,6,26,7.300000000000001,49,1,3,0,12,2,6,42,19,6,1,3,0,3,1,0.0,0.0,0.0
52,2019,1,Richmond,DEF,57,25,82,20,0,14,23,40,63,6,0,2,0,25,489.5,15,3,4,29,1,14,36,0,2,16,1823,0,3,3,45,17.1,68,0,8,0,17,0,7,69,58,21,0,10,3,0,0,0.0,0.0,0.0
53,2019,1,Richmond,FWD,55,37,92,18,2,14,47,50,97,22,8,3,0,11,394.0,23,5,11,2,7,25,7,7,15,43,1663,3,4,7,30,9.9,60,1,1,0,31,12,4,67,20,3,1,0,0,20,6,0.0,0.0,0.0
54,2019,1,Richmond,MID,72,61,133,19,1,25,64,70,134,20,2,3,34,7,405.9,16,11,4,3,2,22,23,2,7,43,2180,4,17,21,42,9.7,89,0,3,10,45,7,11,109,48,3,67,1,0,2,1,0.0,0.0,0.0
55,2019,1,Richmond,Other,34,17,51,12,2,10,18,35,53,11,1,0,6,12,317.9,14,3,4,4,0,11,8,1,5,11,1198,3,3,6,27,4.8,40,0,2,0,10,1,1,62,26,6,19,0,0,2,0,0.0,0.0,0.0
56,2019,1,St Kilda,DEF,72,40,112,22,4,13,36,69,105,15,0,4,0,28,450.4,22,0,9,19,3,22,39,2,1,17,1960,0,2,2,52,13.2,84,4,6,0,27,0,3,46,36,19,0,16,2,1,1,0.0,0.0,0.0
57,2019,1,St Kilda,FWD,60,35,95,27,1,17,39,58,97,19,10,2,6,8,402.5,24,7,11,3,5,27,8,6,17,30,1734,4,8,12,37,12.0,65,12,2,2,28,13,4,59,14,4,24,0,0,19,2,0.0,0.0,0.0
58,2019,1,St Kilda,MID,58,48,106,21,5,20,42,65,107,14,2,3,27,18,458.4,18,5,7,10,1,15,21,1,3,26,1353,6,5,11,42,8.2,84,2,6,8,27,1,6,66,33,12,75,7,0,7,2,0.0,0.0,0.0
59,2019,1,St Kilda,Other,44,31,75,11,1,21,47,31,78,12,1,2,0,9,249.4,13,6,2,8,2,14,12,2,3,15,1136,5,15,20,21,5.9,45,1,2,0,32,2,7,59,24,4,0,4,2,4,2,0.0,0.0,0.0
60,2019,1,Sydney Swans,DEF,69,44,113,24,0,16,28,70,98,8,0,1,3,30,515.5,16,6,8,36,2,20,30,0,2,22,2085,2,5,7,56,10.1,98,0,6,1,17,0,9,80,59,27,6,17,6,3,0,0.0,0.0,0.0
61,2019,1,Sydney Swans,FWD,48,29,77,25,1,22,31,47,78,16,13,4,0,11,408.6,17,7,4,2,4,13,8,4,15,31,1277,4,4,8,30,14.4,54,4,1,0,14,3,4,93,44,6,1,1,1,10,4,0.0,0.0,0.0
62,2019,1,Sydney Swans,MID,67,53,120,27,0,24,41,79,120,17,2,3,44,4,441.0,19,7,7,13,2,27,20,0,9,34,1907,4,9,13,42,8.0,87,1,3,13,25,7,5,90,39,2,64,1,0,4,2,0.0,0.0,0.0
63,2019,1,Sydney Swans,Other,23,36,59,12,0,8,25,34,59,6,0,2,2,7,296.40000000000003,8,2,3,5,0,14,13,1,0,10,706,0,4,4,18,3.1,44,1,4,0,19,2,1,48,24,6,6,6,0,2,1,0.0,0.0,0.0
64,2019,1,West Coast Eagles,DEF,68,20,88,23,0,11,30,51,81,8,0,3,15,36,470.20000000000005,20,13,6,23,0,14,32,0,0,2,1911,0,2,2,54,25.0,69,1,6,3,12,0,1,54,43,30,21,10,3,0,0,0.0,0.0,0.0
65,2019,1,West Coast Eagles,FWD,35,20,55,15,3,19,33,26,59,15,6,3,0,13,394.5,11,11,3,4,3,16,12,5,11,14,1134,1,3,4,21,12.0,36,5,0,0,17,6,5,92,28,8,0,0,0,7,0,0.0,0.0,0.0
66,2019,1,West Coast Eagles,MID,71,41,112,16,2,14,52,58,110,21,2,1,14,24,385.3,25,6,9,12,1,32,19,4,5,16,1773,8,18,26,40,14.4,69,1,2,3,33,4,9,92,42,11,32,1,0,6,1,0.0,0.0,0.0
67,2019,1,West Coast Eagles,Other,24,15,39,14,0,11,17,24,41,4,0,1,20,10,295.7,11,1,5,2,0,11,8,3,2,6,573,1,3,4,14,2.1,26,1,1,5,11,1,2,47,19,3,46,3,1,2,1,0.0,0.0,0.0
68,2019,1,Western Bulldogs,DEF,55,24,79,18,3,9,22,45,67,9,0,1,0,18,472.5,16,2,6,26,0,19,28,0,0,9,1577,0,2,2,39,17.7,61,0,4,0,18,1,4,40,25,17,0,15,7,0,0,0.0,0.0,0.0
69,2019,1,Western Bulldogs,FWD,57,41,98,17,0,20,42,60,102,20,10,5,0,12,372.5,14,7,8,1,2,20,13,4,17,40,1673,0,7,7,32,16.8,64,3,2,0,26,8,7,82,29,4,0,1,0,13,4,0.0,0.0,0.0
70,2019,1,Western Bulldogs,MID,75,74,149,21,2,32,64,87,151,29,2,1,19,16,426.9,16,10,7,8,3,21,20,5,9,39,2362,10,17,27,38,7.0,105,1,2,3,46,2,14,103,37,6,66,1,0,8,1,0.0,0.0,0.0
71,2019,1,Western Bulldogs,Other,30,18,48,6,1,5,23,21,44,10,2,0,1,4,261.1,8,3,1,2,1,10,13,2,7,14,829,1,4,5,18,9.0,31,1,2,1,17,1,1,41,16,3,11,2,0,4,2,0.0,0.0,0.0
72,2019,2,Adelaide Crows,DEF,66,34,100,28,3,13,21,72,93,8,1,3,0,20,443.70000000000005,10,2,4,24,1,14,20,1,3,15,1728,1,2,3,47,15.0,75,1,7,0,16,0,4,71,53,17,0,16,6,0,0,0.0,0.0,0.0
73,2019,2,Adelaide Crows,FWD,61,35,96,26,0,15,47,46,93,18,3,6,7,8,387.5,12,8,5,9,2,17,13,4,13,34,1538,2,9,11,32,13.3,65,7,1,0,31,8,5,90,24,4,17,2,0,13,4,0.0,0.0,0.0
74,2019,2,Adelaide Crows,MID,59,54,113,25,0,31,48,63,111,13,3,2,40,6,396.8,17,14,4,11,1,14,13,5,8,36,1300,7,12,19,35,6.4,77,3,3,7,28,6,16,104,52,4,67,3,1,2,1,0.0,0.0,0.0
75,2019,2,Adelaide Crows,Other,40,28,68,14,1,5,22,47,69,13,0,0,0,10,288.7,7,3,2,3,1,10,13,0,6,22,1229,2,3,5,27,6.8,51,2,2,0,18,5,3,54,20,8,0,5,2,0,0,0.0,0.0,0.0
76,2019,2,Brisbane Lions,DEF,69,32,101,34,2,17,30,63,93,9,0,1,0,31,519.6,10,6,5,18,1,9,33,0,1,29,1481,0,2,2,61,14.6,88,0,6,0,23,0,11,55,39,25,0,21,5,0,0,0.0,0.0,0.0
77,2019,2,Brisbane Lions,FWD,50,23,73,29,0,10,23,50,73,22,12,4,0,6,422.1,17,7,7,1,4,17,4,4,16,34,1546,3,1,4,32,13.9,52,10,1,0,15,6,1,52,10,5,5,0,0,6,3,0.0,0.0,0.0
78,2019,2,Brisbane Lions,MID,74,70,144,32,3,20,57,91,148,23,5,5,13,12,444.6,19,8,4,4,5,24,14,3,9,43,1917,13,11,24,47,7.7,107,0,1,5,31,4,8,106,33,5,27,0,0,3,2,0.0,0.0,0.0
79,2019,2,Brisbane Lions,Other,42,23,65,20,0,6,31,39,70,12,1,1,25,7,304.2,14,3,2,7,2,15,14,0,2,21,1271,4,4,8,29,7.4,49,1,1,9,20,3,7,38,15,4,55,2,1,3,1,0.0,0.0,0.0
80,2019,2,Carlton,DEF,68,23,91,16,0,14,41,39,80,11,0,4,0,33,371.5,12,7,3,35,1,22,42,0,1,14,1951,0,3,3,43,19.4,58,0,8,0,28,1,5,73,60,27,0,19,5,0,0,0.0,0.0,0.0
81,2019,2,Carlton,FWD,52,23,75,21,0,13,36,39,75,15,5,6,3,10,345.2,20,5,8,6,5,25,10,4,12,25,1525,0,4,4,28,18.5,43,1,0,1,22,8,2,84,35,6,20,1,1,17,4,0.0,0.0,0.0
82,2019,2,Carlton,MID,64,59,123,17,0,21,61,56,117,19,1,3,27,6,396.5,22,12,7,9,0,24,26,3,4,22,1590,10,11,21,35,6.5,80,0,3,11,43,4,5,129,72,3,86,0,0,2,0,0.0,0.0,0.0
83,2019,2,Carlton,Other,35,23,58,7,0,13,24,29,53,7,2,0,0,5,231.8,19,2,6,3,2,17,14,3,4,19,869,1,5,6,17,6.4,34,0,1,0,18,4,4,61,40,4,0,1,0,3,2,0.0,0.0,0.0
84,2019,2,Collingwood,DEF,93,35,128,59,1,18,31,97,128,9,2,4,0,27,507.1,15,7,2,18,2,21,29,3,1,35,1868,0,2,2,75,17.2,107,2,10,0,19,1,9,72,41,25,0,10,3,0,0,0.0,0.0,0.0
85,2019,2,Collingwood,FWD,65,30,95,41,2,9,32,62,94,17,16,8,5,1,407.6,19,6,2,4,5,18,10,3,20,50,1497,0,1,1,38,14.700000000000001,64,9,4,1,16,9,5,42,8,1,8,0,0,6,2,0.0,0.0,0.0
86,2019,2,Collingwood,MID,86,78,164,48,0,17,44,123,167,27,0,1,27,15,512.7,13,7,4,8,3,17,17,3,3,39,1737,13,9,22,67,6.9,140,4,5,10,25,2,9,90,49,6,58,5,2,2,1,0.0,0.0,0.0
87,2019,2,Collingwood,Other,47,33,80,26,2,14,27,56,83,10,1,2,0,9,349.2,5,5,1,5,3,5,14,4,5,20,758,2,4,6,35,7.8,67,1,3,0,18,6,2,42,12,4,0,1,0,1,0,0.0,0.0,0.0
88,2019,2,Essendon,DEF,64,31,95,41,3,14,32,54,86,9,1,7,0,39,459.3,12,9,4,24,0,18,33,2,2,10,1649,0,1,1,48,15.6,74,3,11,0,18,2,2,47,26,36,0,10,3,2,0,0.0,0.0,0.0
89,2019,2,Essendon,FWD,51,32,83,15,0,17,42,40,82,17,4,6,11,8,343.8,13,8,3,7,1,17,10,7,14,29,1459,2,10,12,26,11.0,50,2,1,4,24,9,5,91,29,4,22,2,0,5,2,0.0,0.0,0.0
90,2019,2,Essendon,MID,56,54,110,20,3,18,58,60,118,18,3,4,40,11,385.0,22,7,7,5,2,24,21,3,8,30,1339,3,12,15,33,6.9,69,0,6,14,30,5,11,83,41,5,65,4,2,7,2,0.0,0.0,0.0
91,2019,2,Essendon,Other,42,31,73,17,1,15,25,48,73,10,0,2,0,5,272.2,13,1,7,4,3,17,9,1,3,10,946,3,5,8,27,6.1,51,0,4,0,19,4,2,59,41,3,0,2,0,0,0,0.0,0.0,0.0
92,2019,2,Fremantle,DEF,58,33,91,17,0,8,33,49,82,7,0,2,0,27,450.2,14,2,7,28,1,24,38,0,0,10,1858,0,4,4,44,10.6,69,0,7,0,29,0,4,53,47,25,0,10,6,0,0,0.0,0.0,0.0
93,2019,2,Fremantle,FWD,38,36,74,12,0,22,35,41,76,13,3,0,11,9,429.6,13,8,4,3,2,16,7,5,11,29,1105,3,6,9,24,13.2,53,4,0,6,24,5,5,91,36,4,31,0,0,13,2,0.0,0.0,0.0
94,2019,2,Fremantle,MID,75,51,126,29,1,16,57,68,125,16,2,3,37,8,356.6,21,3,7,18,2,31,19,1,2,17,2189,4,21,25,45,9.8,83,3,5,11,36,2,5,110,68,2,67,2,0,4,2,0.0,0.0,0.0
95,2019,2,Fremantle,Other,37,28,65,13,0,15,28,37,65,10,3,2,0,5,251.3,11,2,1,6,1,15,9,2,7,18,1060,1,4,5,19,5.6,41,4,1,0,22,6,3,68,35,2,1,0,0,5,2,0.0,0.0,0.0
96,2019,2,GWS Giants,DEF,60,27,87,28,1,6,19,62,81,10,0,1,0,20,513.8,11,8,3,16,0,14,29,0,1,20,1313,0,1,1,49,18.0,75,1,7,0,11,2,8,38,21,18,0,12,4,1,0,0.0,0.0,0.0
97,2019,2,GWS Giants,FWD,45,31,76,26,1,4,36,44,80,11,7,6,0,16,405.0,18,5,9,2,4,15,8,1,16,23,1015,1,1,2,25,13.6,51,5,4,0,25,13,0,49,2,14,0,2,0,20,3,0.0,0.0,0.0
98,2019,2,GWS Giants,MID,71,48,119,30,2,13,42,76,118,25,0,0,35,4,452.2,17,7,4,9,1,23,11,0,1,20,1835,8,18,26,49,9.5,91,1,2,15,25,2,6,63,36,1,77,3,3,5,0,0.0,0.0,0.0
99,2019,2,GWS Giants,Other,49,23,72,25,2,7,22,51,73,16,1,1,0,6,337.0,10,3,2,3,0,13,9,2,3,16,1367,2,7,9,38,9.1,60,1,1,0,17,2,3,39,14,4,0,3,1,0,0,0.0,0.0,0.0
100,2019,2,Geelong Cats,DEF,75,33,108,29,0,19,39,65,104,8,0,1,0,32,429.6,9,4,2,34,1,19,36,0,2,22,2013,0,2,2,55,14.8,76,0,6,0,29,2,7,81,67,22,0,15,3,1,0,0.0,0.0,0.0
101,2019,2,Geelong Cats,FWD,51,45,96,10,0,33,50,48,98,17,4,3,9,12,381.1,8,7,2,7,6,15,11,8,15,39,1257,0,8,8,29,12.6,58,1,1,4,32,7,5,95,53,3,28,0,0,12,3,0.0,0.0,0.0
