,year,round,team,score
1315,2020,13,Geelong Cats,65
1316,2020,13,St Kilda,48
1317,2020,13,GWS Giants,49
1318,2020,13,North Melbourne,35
1319,2020,14,Essendon,87
1320,2020,14,West Coast Eagles,61
1321,2020,14,Geelong Cats,72
1322,2020,14,Sydney Swans,47
1323,2020,14,GWS Giants,91
1324,2020,14,St Kilda,49
1325,2020,14,Collingwood,72
1326,2020,14,North Melbourne,28
1327,2020,15,Adelaide Crows,83
1328,2020,15,Essendon,45
1329,2020,15,Fremantle,29
1330,2020,15,Melbourne,46
1331,2020,15,Carlton,39
1332,2020,15,Collingwood,34
1333,2020,16,Port Adelaide,78
1334,2020,16,Hawthorn,66
1335,2020,16,Essendon,42
1336,2020,16,West Coast Eagles,47
1337,2020,16,Fremantle,47
1338,2020,16,GWS Giants,47
1339,2020,16,Sydney Swans,52
1340,2020,16,Gold Coast Suns,43
1341,2020,17,West Coast Eagles,65
1342,2020,17,Richmond,57
1343,2020,17,Fremantle,99
1344,2020,17,Essendon,29
1345,2020,17,Melbourne,79
1346,2020,17,Adelaide Crows,72
1347,2020,17,Western Bulldogs,76
1348,2020,17,Brisbane Lions,73
1349,2020,17,Gold Coast Suns,46
1350,2020,18,West Coast Eagles,49
1351,2020,18,GWS Giants,30
1352,2020,18,Melbourne,68
1353,2020,18,Richmond,77
1354,2020,18,Carlton,61
1355,2020,18,Gold Coast Suns,57
1356,2020,18,Geelong Cats,69
1357,2020,18,Western Bulldogs,74
1358,2020,18,Port Adelaide,61
1359,2020,19,Geelong Cats,42
1360,2020,19,Richmond,54
1361,2020,19,Western Bulldogs,64
1362,2020,19,Collingwood,76
1363,2020,20,St Kilda,49
1364,2020,20,Collingwood,32
1365,2020,21,Richmond,46
1366,2020,21,Geelong Cats,82
1367,2020,22,Geelong Cats,50
1368,2021,1,Carlton,80
1369,2021,1,Western Bulldogs,69
1370,2021,1,Fremantle,58
1371,2021,1,Geelong Cats,91
1372,2021,1,Hawthorn,92
1373,2021,1,Sydney Swans,125
1374,2021,1,Port Adelaide,117
1375,2021,1,St Kilda,86
1376,2021,1,Gold Coast Suns,58
1377,2021,2,Collingwood,106
1378,2021,2,Brisbane Lions,80
1379,2021,2,Adelaide Crows,88
1380,2021,2,Essendon,65
1381,2021,2,Melbourne,91
1382,2021,2,North Melbourne,39
1383,2021,2,Richmond,78
1384,2021,2,West Coast Eagles,93
1385,2021,2,GWS Giants,56
1386,2021,3,Brisbane Lions,73
1387,2021,3,Western Bulldogs,167
1388,2021,3,Gold Coast Suns,85
1389,2021,3,Sydney Swans,117
1390,2021,3,St Kilda,68
1391,2021,3,Port Adelaide,71
1392,2021,3,Fremantle,64
1393,2021,3,Melbourne,102
1394,2021,3,Hawthorn,64
1395,2021,4,Essendon,80
1396,2021,4,Richmond,77
1397,2021,4,Brisbane Lions,54
1398,2021,4,West Coast Eagles,82
1399,2021,4,Carlton,70
1400,2021,4,GWS Giants,90
1401,2021,4,Adelaide Crows,109
1402,2021,4,Geelong Cats,60
1403,2021,4,Hawthorn,81
1404,2021,5,Richmond,134
1405,2021,5,Collingwood,76
1406,2021,5,Gold Coast Suns,56
1407,2021,5,GWS Giants,71
1408,2021,5,Port Adelaide,96
1409,2021,5,Essendon,45
1410,2021,5,Fremantle,84
1411,2021,5,Melbourne,104
1412,2021,5,North Melbourne,47
1413,2021,6,Western Bulldogs,104
1414,2021,6,West Coast Eagles,39
1415,2021,6,Sydney Swans,60
1416,2021,6,Brisbane Lions,103
1417,2021,6,Richmond,48
1418,2021,6,North Melbourne,48
1419,2021,6,Adelaide Crows,99
1420,2021,6,Essendon,109
1421,2021,6,St Kilda,39
1422,2021,7,Western Bulldogs,55
1423,2021,7,Gold Coast Suns,79
1424,2021,7,GWS Giants,106
1425,2021,7,Hawthorn,59
1426,2021,7,Port Adelaide,44
1427,2021,7,Geelong Cats,88
1428,2021,7,Melbourne,103
1429,2021,7,Carlton,123
1430,2021,7,Fremantle,73
1431,2021,8,Geelong Cats,126
1432,2021,8,St Kilda,63
1433,2021,8,Essendon,105
1434,2021,8,Collingwood,94
1435,2021,8,Sydney Swans,58
1436,2021,8,Adelaide Crows,38
1437,2021,8,West Coast Eagles,98
1438,2021,8,Carlton,91
1439,2021,8,Fremantle,71
1440,2021,9,Geelong Cats,68
1441,2021,9,Collingwood,42
1442,2021,9,North Melbourne,87
1443,2021,9,Brisbane Lions,124
1444,2021,9,GWS Giants,83
1445,2021,9,Western Bulldogs,96
1446,2021,9,Fremantle,61
1447,2021,9,Carlton,68
1448,2021,9,Adelaide Crows,76
1449,2021,10,Richmond,74
1450,2021,10,Hawthorn,63
1451,2021,10,Gold Coast Suns,57
1452,2021,10,Melbourne,95
1453,2021,10,St Kilda,33
1454,2021,10,Sydney Swans,84
1455,2021,10,West Coast Eagles,77
1456,2021,10,Port Adelaide,59
1457,2021,10,North Melbourne,69
1458,2021,11,Melbourne,87
1459,2021,11,Geelong Cats,61
1460,2021,11,GWS Giants,65
1461,2021,11,North Melbourne,68
1462,2021,11,Hawthorn,76
1463,2021,11,Essendon,87
1464,2021,11,Adelaide Crows,83
1465,2021,11,Carlton,78
1466,2021,11,Fremantle,69
1467,2021,12,Brisbane Lions,75
1468,2021,12,St Kilda,83
1469,2021,12,Collingwood,78
1470,2021,12,Richmond,123
1471,2021,12,West Coast Eagles,95
1472,2021,12,Western Bulldogs,93
1473,2021,13,Geelong Cats,112
1474,2021,13,Hawthorn,89
1475,2021,13,Gold Coast Suns,49
1476,2021,13,Adelaide Crows,66
1477,2021,13,GWS Giants,94
1478,2021,13,Richmond,81
1479,2021,13,Collingwood,80
1480,2021,14,Western Bulldogs,78
1481,2021,14,Port Adelaide,81
1482,2021,14,Brisbane Lions,68
1483,2021,14,Carlton,66
1484,2021,14,Essendon,86
1485,2021,15,Geelong Cats,50
1486,2021,15,St Kilda,62
1487,2021,15,Fremantle,91
1488,2021,15,Gold Coast Suns,63
1489,2021,15,Sydney Swans,71
1490,2021,15,Melbourne,68
1491,2021,15,Hawthorn,90
1492,2021,15,Western Bulldogs,98
1493,2021,15,Adelaide Crows,73
1494,2021,16,Richmond,67
1495,2021,16,Essendon,57
1496,2021,16,GWS Giants,64
1497,2021,16,Brisbane Lions,111
1498,2021,16,Carlton,80
1499,2021,16,Port Adelaide,87
1500,2021,16,West Coast Eagles,26
1501,2021,16,St Kilda,70
1502,2021,16,North Melbourne,79
1503,2021,17,Melbourne,86
1504,2021,17,Adelaide Crows,21
1505,2021,17,Fremantle,108
1506,2021,17,Geelong Cats,70
1507,2021,17,St Kilda,95
1508,2021,17,Gold Coast Suns,65
1509,2021,17,Sydney Swans,79
1510,2021,17,Collingwood,87
1511,2021,17,North Melbourne,70
1512,2021,18,Geelong Cats,100
1513,2021,18,Brisbane Lions,86
1514,2021,18,Port Adelaide,74
1515,2021,18,Western Bulldogs,90
1516,2021,18,Hawthorn,79
1517,2021,18,Essendon,92
1518,2021,18,Carlton,91
1519,2021,18,West Coast Eagles,98
1520,2021,18,Sydney Swans,98
1521,2021,19,Collingwood,69
1522,2021,19,North Melbourne,116
1523,2021,19,Gold Coast Suns,71
1524,2021,19,St Kilda,86
1525,2021,19,Western Bulldogs,85
1526,2021,19,Hawthorn,83
1527,2021,19,Fremantle,58
1528,2021,19,Richmond,57
1529,2021,19,GWS Giants,66
1530,2021,20,Carlton,112
1531,2021,20,Adelaide Crows,56
1532,2021,20,Geelong Cats,62
1533,2021,20,West Coast Eagles,45
1534,2021,20,Melbourne,128
1535,2021,20,Brisbane Lions,80
1536,2021,20,Sydney Swans,109
1537,2021,20,Richmond,51
1538,2021,20,Port Adelaide,100
1539,2021,21,GWS Giants,84
1540,2021,21,Gold Coast Suns,76
1541,2021,21,North Melbourne,56
1542,2021,21,Port Adelaide,55
1543,2021,21,Sydney Swans,64
1544,2021,21,Collingwood,78
1545,2021,21,Essendon,97
1546,2021,21,Brisbane Lions,118
1547,2021,21,Melbourne,72
1548,2021,22,Richmond,67
1549,2021,22,Western Bulldogs,37
1550,2021,22,St Kilda,71
1551,2021,22,Carlton,45
1552,2021,22,Collingwood,57
1553,2021,22,Sydney Swans,91
1554,2021,22,Adelaide Crows,63
1555,2021,22,Essendon,98
1556,2021,22,West Coast Eagles,64
1557,2021,23,Port Adelaide,66
1558,2021,23,Hawthorn,83
1559,2021,23,Gold Coast Suns,49
1560,2021,23,West Coast Eagles,87
1561,2021,23,Melbourne,81
1562,2021,23,GWS Giants,89
1563,2021,23,Fremantle,49
1564,2021,23,Collingwood,64
1565,2021,23,North Melbourne,54
1566,2021,24,Geelong Cats,43
1567,2021,24,GWS Giants,74
1568,2021,24,Brisbane Lions,60
1569,2021,24,Essendon,36
1570,2021,25,GWS Giants,68
1571,2021,25,Western Bulldogs,79
1572,2021,26,Geelong Cats,42
1573,2021,26,Western Bulldogs,116
1574,2021,27,Western Bulldogs,66
1575,2022,1,Western Bulldogs,71
1576,2022,1,Richmond,76
1577,2022,1,Collingwood,102
1578,2022,1,Essendon,72
1579,2022,1,Sydney Swans,112
1580,2022,1,Port Adelaide,69
1581,2022,1,North Melbourne,58
1582,2022,1,Fremantle,83
1583,2022,1,Gold Coast Suns,107
1584,2022,2,Carlton,102
1585,2022,2,Geelong Cats,77
1586,2022,2,Adelaide Crows,58
1587,2022,2,Brisbane Lions,97
1588,2022,2,Hawthorn,120
1589,2022,2,Melbourne,82
1590,2022,2,West Coast Eagles,59
1591,2022,2,GWS Giants,73
1592,2022,2,St Kilda,65
1593,2022,3,Sydney Swans,60
1594,2022,3,Essendon,70
1595,2022,3,Port Adelaide,92
1596,2022,3,Gold Coast Suns,57
1597,2022,3,Geelong Cats,104
1598,2022,3,North Melbourne,48
1599,2022,3,Hawthorn,73
1600,2022,3,Richmond,84
1601,2022,3,Fremantle,102
1602,2022,4,Melbourne,68
1603,2022,4,Brisbane Lions,70
1604,2022,4,North Melbourne,75
1605,2022,4,West Coast Eagles,87
1606,2022,4,Western Bulldogs,61
1607,2022,4,GWS Giants,54
1608,2022,4,Adelaide Crows,99
1609,2022,4,St Kilda,142
1610,2022,4,Carlton,62
1611,2022,5,Collingwood,91
1612,2022,5,Western Bulldogs,139
1613,2022,5,Sydney Swans,121
1614,2022,5,Gold Coast Suns,61
1615,2022,5,Richmond,82
1616,2022,5,GWS Giants,53
1617,2022,5,Port Adelaide,91
1618,2022,5,Fremantle,107
1619,2022,5,Geelong Cats,80
1620,2022,6,St Kilda,77
1621,2022,6,Adelaide Crows,63
1622,2022,6,West Coast Eagles,33
1623,2022,6,Carlton,62
1624,2022,6,Geelong Cats,121
1625,2022,6,Brisbane Lions,132
1626,2022,6,Melbourne,76
1627,2022,6,Sydney Swans,109
1628,2022,6,Collingwood,93
1629,2022,7,Richmond,165
1630,2022,7,Fremantle,69
1631,2022,7,GWS Giants,113
1632,2022,7,Hawthorn,81
1633,2022,7,Port Adelaide,43
1634,2022,7,North Melbourne,64
1635,2022,7,Gold Coast Suns,90
1636,2022,7,Essendon,71
1637,2022,7,Brisbane Lions,113
1638,2022,8,Western Bulldogs,69
1639,2022,8,North Melbourne,24
1640,2022,8,Collingwood,86
1641,2022,8,Gold Coast Suns,75
1642,2022,8,Geelong Cats,88
1643,2022,8,Hawthorn,81
1644,2022,8,West Coast Eagles,30
1645,2022,8,St Kilda,55
1646,2022,8,Adelaide Crows,68
1647,2022,9,Western Bulldogs,99
1648,2022,9,Richmond,117
1649,2022,9,Port Adelaide,115
1650,2022,9,Geelong Cats,80
1651,2022,9,Essendon,47
1652,2022,9,Brisbane Lions,102
1653,2022,9,Fremantle,33
1654,2022,9,Carlton,105
1655,2022,9,Melbourne,112
1656,2022,10,Sydney Swans,87
1657,2022,10,Port Adelaide,47
1658,2022,10,Gold Coast Suns,87
1659,2022,10,Melbourne,100
1660,2022,10,St Kilda,90
1661,2022,10,Essendon,48
1662,2022,10,West Coast Eagles,86
1663,2022,10,Brisbane Lions,112
1664,2022,10,Collingwood,80
1665,2022,11,Richmond,100
1666,2022,11,GWS Giants,96
1667,2022,11,Adelaide Crows,55
1668,2022,11,Fremantle,94
1669,2022,11,Western Bulldogs,161
1670,2022,11,Hawthorn,54
1671,2022,11,North Melbourne,50
1672,2022,11,Carlton,75
1673,2022,11,Essendon,50
1674,2022,12,Geelong Cats,83
1675,2022,12,West Coast Eagles,57
1676,2022,12,North Melbourne,47
1677,2022,12,Sydney Swans,73
1678,2022,12,Collingwood,72
1679,2022,12,Brisbane Lions,85
1680,2022,13,Port Adelaide,65
1681,2022,13,Carlton,80
1682,2022,13,Hawthorn,82
1683,2022,13,St Kilda,57
1684,2022,13,GWS Giants,102
1685,2022,13,Melbourne,56
1686,2022,14,Carlton,66
1687,2022,14,Essendon,107
1688,2022,14,Sydney Swans,59
1689,2022,14,Geelong Cats,81
1690,2022,14,Western Bulldogs,125
1691,2022,14,Adelaide Crows,73
1692,2022,15,Brisbane Lions,53
1693,2022,15,Hawthorn,83
1694,2022,15,Essendon,97
1695,2022,15,Fremantle,50
1696,2022,15,Richmond,86
1697,2022,15,St Kilda,32
1698,2022,15,Adelaide Crows,115
1699,2022,15,GWS Giants,77
1700,2022,15,Gold Coast Suns,91
1701,2022,16,Western Bulldogs,67
1702,2022,16,St Kilda,93
1703,2022,16,Sydney Swans,86
1704,2022,16,Melbourne,94
1705,2022,16,North Melbourne,32
1706,2022,16,Collingwood,67
1707,2022,16,West Coast Eagles,93
1708,2022,16,Hawthorn,50
1709,2022,16,Port Adelaide,91
1710,2022,17,Melbourne,63
1711,2022,17,Western Bulldogs,67
1712,2022,17,North Melbourne,81
1713,2022,17,Richmond,92
1714,2022,17,Fremantle,111
1715,2022,17,GWS Giants,29
1716,2022,17,Essendon,100
1717,2022,17,Adelaide Crows,54
1718,2022,17,Carlton,116
1719,2022,18,St Kilda,56
1720,2022,18,Collingwood,91
1721,2022,18,Brisbane Lions,99
1722,2022,18,Richmond,88
1723,2022,18,Geelong Cats,85
1724,2022,18,Sydney Swans,82
1725,2022,18,West Coast Eagles,77
1726,2022,18,Port Adelaide,69
1727,2022,18,Gold Coast Suns,55
1728,2022,19,Fremantle,52
1729,2022,19,Hawthorn,121
1730,2022,19,Adelaide Crows,85
1731,2022,19,Geelong Cats,106
1732,2022,19,Gold Coast Suns,93
1733,2022,19,Melbourne,100
1734,2022,19,GWS Giants,54
1735,2022,19,Essendon,76
1736,2022,19,St Kilda,90
1737,2022,20,Melbourne,85
1738,2022,20,Port Adelaide,82
1739,2022,20,GWS Giants,39
1740,2022,20,Hawthorn,63
1741,2022,20,Western Bulldogs,66
1742,2022,20,Carlton,55
1743,2022,20,West Coast Eagles,104
1744,2022,20,Brisbane Lions,97
1745,2022,20,North Melbourne,66
1746,2022,21,Collingwood,96
1747,2022,21,Gold Coast Suns,63
1748,2022,21,Essendon,69
1749,2022,21,Fremantle,95
1750,2022,21,St Kilda,65
1751,2022,21,Richmond,109
1752,2022,21,Sydney Swans,126
1753,2022,21,Carlton,81
1754,2022,21,Adelaide Crows,102
1755,2022,22,Brisbane Lions,81
1756,2022,22,GWS Giants,57
1757,2022,22,North Melbourne,74
1758,2022,22,Geelong Cats,119
1759,2022,22,Carlton,74
1760,2022,22,West Coast Eagles,47
1761,2022,22,Hawthorn,67
1762,2022,22,Collingwood,50
1763,2022,22,Port Adelaide,146
1764,2022,23,Melbourne,115
1765,2022,23,Fremantle,89
1766,2022,23,Gold Coast Suns,114
1767,2022,23,West Coast Eagles,46
1768,2022,23,Richmond,141
1769,2022,23,Adelaide Crows,55
1770,2022,23,Western Bulldogs,87
1771,2022,23,Collingwood,75
1772,2022,23,Sydney Swans,88
1773,2022,24,Richmond,104
1774,2022,24,Sydney Swans,91
1775,2022,24,Collingwood,72
1776,2022,24,Western Bulldogs,60
1777,2022,25,Brisbane Lions,92
1778,2022,25,Fremantle,59
1779,2022,26,Brisbane Lions,49
1780,2022,26,Collingwood,94
1781,2022,27,Sydney Swans,52
1782,2023,1,Carlton,58
1783,2023,1,Collingwood,125
1784,2023,1,West Coast Eagles,82
1785,2023,1,Brisbane Lions,72
1786,2023,1,Western Bulldogs,65
1787,2023,1,Sydney Swans,110
1788,2023,1,Adelaide Crows,90
1789,2023,1,Essendon,124
1790,2023,1,Fremantle,52
1791,2023,2,Geelong Cats,82
1792,2023,2,Melbourne,82
1793,2023,2,Port Adelaide,64
1794,2023,2,Richmond,108
1795,2023,2,St Kilda,92
1796,2023,2,North Melbourne,73
1797,2023,2,Hawthorn,37
1798,2023,2,Gold Coast Suns,80
1799,2023,2,GWS Giants,81
1800,2023,3,Brisbane Lions,53
1801,2023,3,Richmond,49
1802,2023,3,North Melbourne,61
1803,2023,3,Carlton,74
1804,2023,3,Essendon,74
1805,2023,3,Adelaide Crows,117
1806,2023,3,Geelong Cats,54
1807,2023,3,Sydney Swans,84
1808,2023,3,West Coast Eagles,67
1809,2023,4,Collingwood,83
1810,2023,4,Carlton,107
1811,2023,4,Fremantle,72
1812,2023,4,Western Bulldogs,89
1813,2023,4,Gold Coast Suns,60
1814,2023,4,Port Adelaide,66
1815,2023,4,GWS Giants,75
1816,2023,4,Melbourne,126
1817,2023,4,Hawthorn,45
1818,2023,5,Carlton,62
1819,2023,5,Gold Coast Suns,90
1820,2023,5,Sydney Swans,122
1821,2023,5,North Melbourne,77
1822,2023,5,Melbourne,77
1823,2023,5,Western Bulldogs,56
1824,2023,5,West Coast Eagles,89
1825,2023,5,Hawthorn,75
1826,2023,5,St Kilda,64
1827,2023,6,Western Bulldogs,118
1828,2023,6,West Coast Eagles,69
1829,2023,6,Brisbane Lions,108
1830,2023,6,Sydney Swans,37
1831,2023,6,Adelaide Crows,79
1832,2023,6,St Kilda,82
1833,2023,6,North Melbourne,54
1834,2023,6,Richmond,78
1835,2023,6,Essendon,77
1836,2023,7,Port Adelaide,83
1837,2023,7,Fremantle,67
1838,2023,7,GWS Giants,107
1839,2023,7,Hawthorn,65
1840,2023,7,North Melbourne,49
1841,2023,7,Carlton,152
1842,2023,7,Geelong Cats,132
1843,2023,7,Gold Coast Suns,72
1844,2023,7,Collingwood,59
1845,2023,8,Brisbane Lions,100
1846,2023,8,West Coast Eagles,58
1847,2023,8,Adelaide Crows,72
1848,2023,8,Melbourne,90
1849,2023,8,Western Bulldogs,86
1850,2023,8,Hawthorn,48
1851,2023,8,Essendon,87
1852,2023,8,Sydney Swans,48
1853,2023,8,St Kilda,64
1854,2023,9,Geelong Cats,78
1855,2023,9,Gold Coast Suns,113
1856,2023,9,Fremantle,103
1857,2023,9,Port Adelaide,135
1858,2023,9,Melbourne,103
1859,2023,9,Essendon,45
1860,2023,9,Western Bulldogs,79
1861,2023,9,St Kilda,69
1862,2023,9,GWS Giants,55
1863,2023,10,Melbourne,76
1864,2023,10,Sydney Swans,93
1865,2023,10,Adelaide Crows,40
1866,2023,10,Geelong Cats,77
1867,2023,10,Gold Coast Suns,64
1868,2023,10,Richmond,70
1869,2023,10,West Coast Eagles,26
1870,2023,10,Collingwood,85
1871,2023,10,St Kilda,92
1872,2023,11,Carlton,51
1873,2023,11,Hawthorn,88
1874,2023,11,Fremantle,79
1875,2023,11,GWS Giants,81
1876,2023,11,Western Bulldogs,77
1877,2023,11,Essendon,96
1878,2023,11,Port Adelaide,77
1879,2023,11,North Melbourne,70
1880,2023,11,Brisbane Lions,78
1881,2023,12,Carlton,44
1882,2023,12,Hawthorn,96
1883,2023,12,Collingwood,120
1884,2023,12,Geelong Cats,97
1885,2023,12,Adelaide Crows,87
1886,2023,12,Richmond,110
1887,2023,12,North Melbourne,99
1888,2023,13,St Kilda,80
1889,2023,13,Port Adelaide,107
1890,2023,13,Brisbane Lions,73
1891,2023,13,West Coast Eagles,52
1892,2023,13,Richmond,85
1893,2023,13,GWS Giants,103
1894,2023,13,Essendon,86
1895,2023,13,Collingwood,62
1896,2023,14,Geelong Cats,72
1897,2023,14,Sydney Swans,81
1898,2023,14,Fremantle,36
1899,2023,14,St Kilda,70
1900,2023,14,Gold Coast Suns,61
1901,2023,14,Western Bulldogs,105
1902,2023,15,Melbourne,63
1903,2023,15,Brisbane Lions,84
1904,2023,15,West Coast Eagles,34
1905,2023,15,Essendon,61
1906,2023,15,Adelaide Crows,80
1907,2023,15,Hawthorn,34
1908,2023,16,Richmond,53
1909,2023,16,Geelong Cats,54
1910,2023,16,North Melbourne,72
1911,2023,16,Fremantle,73
1912,2023,16,Collingwood,120
1913,2023,16,Port Adelaide,78
1914,2023,16,Carlton,112
1915,2023,16,GWS Giants,47
1916,2023,16,St Kilda,85
1917,2023,17,Sydney Swans,75
1918,2023,17,Collingwood,89
1919,2023,17,West Coast Eagles,35
1920,2023,17,Hawthorn,72
1921,2023,17,Melbourne,79
1922,2023,17,Gold Coast Suns,73
1923,2023,17,North Melbourne,63
1924,2023,17,Adelaide Crows,97
1925,2023,17,Carlton,98
1926,2023,18,Western Bulldogs,76
1927,2023,18,Brisbane Lions,104
1928,2023,18,Fremantle,67
1929,2023,18,St Kilda,51
1930,2023,18,Port Adelaide,72
1931,2023,18,Essendon,45
1932,2023,18,GWS Giants,71
1933,2023,18,Hawthorn,88
1934,2023,18,Richmond,98
1935,2023,19,Western Bulldogs,90
1936,2023,19,Hawthorn,95
1937,2023,19,West Coast Eagles,69
1938,2023,19,Geelong Cats,53
1939,2023,19,Sydney Swans,105
1940,2023,19,Collingwood,85
1941,2023,19,Gold Coast Suns,63
1942,2023,19,Adelaide Crows,93
1943,2023,19,North Melbourne,61
1944,2023,20,Carlton,93
1945,2023,20,Fremantle,71
1946,2023,20,GWS Giants,78
1947,2023,20,Brisbane Lions,55
1948,2023,20,Sydney Swans,101
1949,2023,20,Port Adelaide,65
1950,2023,20,St Kilda,122
1951,2023,20,Melbourne,130
1952,2023,20,North Melbourne,67
1953,2023,21,Richmond,71
1954,2023,21,West Coast Eagles,72
1955,2023,21,Gold Coast Suns,61
1956,2023,21,Collingwood,73
1957,2023,21,Port Adelaide,85
1958,2023,21,Sydney Swans,96
1959,2023,21,Melbourne,103
1960,2023,21,Carlton,73
1961,2023,21,Brisbane Lions,77
1962,2023,22,Geelong Cats,101
1963,2023,22,Essendon,86
1964,2023,22,Gold Coast Suns,90
1965,2023,22,Adelaide Crows,93
1966,2023,22,Melbourne,56
1967,2023,22,Fremantle,134
1968,2023,22,Western Bulldogs,64
1969,2023,22,Richmond,57
1970,2023,22,GWS Giants,85
1971,2023,23,Brisbane Lions,124
1972,2023,23,North Melbourne,72
1973,2023,23,Carlton,91
1974,2023,23,Essendon,36
1975,2023,23,Geelong Cats,55
1976,2023,23,Sydney Swans,74
1977,2023,23,West Coast Eagles,92
1978,2023,23,Hawthorn,60
1979,2023,23,Port Adelaide,74
1980,2023,24,Collingwood,101
1981,2023,24,Fremantle,93
1982,2023,24,Gold Coast Suns,97
1983,2023,24,St Kilda,60
1984,2023,24,Western Bulldogs,104
1985,2023,24,Adelaide Crows,123
1986,2023,24,Richmond,63
1987,2023,24,Melbourne,77
1988,2023,24,GWS Giants,105
1989,2023,25,Melbourne,53
1990,2023,25,Sydney Swans,68
1991,2023,25,GWS Giants,101
1992,2023,25,Port Adelaide,75
1993,2023,26,Carlton,73
1994,2023,26,GWS Giants,93
1995,2023,27,GWS Giants,57
1996,2023,27,Carlton,63
1997,2023,28,Brisbane Lions,86
